,acc_05-dims
0,0.007154844
1,0.060829493087557605
2,0.013137636184438348
3,0.17636717189206466
4,0.013372046562425082
5,0.012700780480008524
6,0.11525532084920487
7,0.026307237420420338
8,0.010607069603899736
9,0.042177886
10,0.022354226046189498
11,0.092949042
12,0.032258065
13,0.090855332
14,0.052332116885538474
15,0.010138248847926268
16,0.025838416664446872
17,0.009919821
18,0.004155457
19,0.018699555153032683
20,0.009232572
21,0.032258065
22,0.00921659
23,0.019354839
24,0.018214751871287394
25,0.023995099
26,0.1350310327375403
27,0.15862124077675074
28,0.071937348
29,0.11614501478383632
30,0.043568365253988973
31,0.001156069
32,0
33,0.029727498
34,0.010607069603899736
35,0.044255614
36,0.016824272129138805
37,0.05878373
38,0.080546602
39,0.032726885272102504
40,0.015449774912762046
41,0.028821821475187127
42,0.011981566820276499
43,0.051394475
44,0.010138248847926268
45,0.075405557
46,0.073780666
47,0.1178018699555153
48,0.098447031
49,0.1454836045923124
50,0.12331584134679419
51,0.017511521
52,0.015449774912762046
53,0.000921659
54,0.01246637
55,0.010388641751684824
56,0.040148105
57,0.040600943
58,0.033882954636264354
59,0.033227671
60,0
61,0.010138248847926268
62,0.006451613
63,0.009685411
64,0.014528115926586932
65,0.005529954
66,0.004608295
67,0.005311526
68,0.006920434
69,0.003468208
70,0.010154231
71,0.004155457
72,0.005077116
73,0.000921659
74,0.028805838949415307
75,0.010372659225913001
76,0.008998162
77,0.020276497695852536
78,0.004624277
79,0.038944088
80,0.033414134
81,0.019354838709677417
82,0.021432567060014385
83,0.00921659
84,0.023041475
85,0.017745931115313925
86,0.008294931
87,0.012013531871820141
88,0.014980954156788578
89,0.059236568018965916
90,0.011310300737859939
91,0.017511521
92,0.023963133640552997
93,0.009685411
94,0.059939799
95,0.12470632108894275
96,0.098399084
97,0.049316747
98,0.080029834
99,0.2143736181774593
100,0.1749766921499161
101,0.13276684158653204
102,0.17425747849018408
103,0.116597853
104,0.050270371
105,0.1984710050344956
106,0.024884792626728113
107,0.10138248847926268
108,0.058064516
109,0.009451
110,0.014075277696385285
111,0.009232572
